County,County Name,Unit Type Code,Unit Type Code Name,Unit,Unit Name,Fund,Fund Name, 2011 Certified Budget , 2011 Certified Levy , 2011 Certified Net Assessed Value , 2011 Certified Gross Tax Rate 
01,Adams,1,County,0000,ADAMS COUNTY,0101,GENERAL                                 ," 9,785,137 "," 5,906,248 "," 1,309,589,285 ", 0.4510 
01,Adams,1,County,0000,ADAMS COUNTY,0123,2006 REASSESSMENT," 244,515 ", -   ," 1,309,589,285 ", -   
01,Adams,1,County,0000,ADAMS COUNTY,0124,2015 REASSESSMENT, -   ," 111,315 "," 1,309,589,285 ", 0.0085 
01,Adams,1,County,0000,ADAMS COUNTY,0590,CUMULATIVE COURT HOUSE                  ," 190,000 "," 49,764 "," 1,309,589,285 ", 0.0038 
01,Adams,1,County,0000,ADAMS COUNTY,0702,HIGHWAY                                 ," 2,171,995 ", -   ," 1,309,589,285 ", -   
01,Adams,1,County,0000,ADAMS COUNTY,0706,LOCAL ROAD & STREET                     ," 272,000 ", -   ," 1,309,589,285 ", -   
01,Adams,1,County,0000,ADAMS COUNTY,0790,CUMULATIVE BRIDGE                       ," 611,300 "," 639,080 "," 1,309,589,285 ", 0.0488 
01,Adams,1,County,0000,ADAMS COUNTY,0801,HEALTH                                  ," 314,849 "," 247,512 "," 1,309,589,285 ", 0.0189 
01,Adams,1,County,0000,ADAMS COUNTY,1192,CUMULATIVE JAIL                         ," 175,000 "," 392,877 "," 1,309,589,285 ", 0.0300 
01,Adams,1,County,0000,ADAMS COUNTY,1301,PARK & RECREATION                       ," 163,900 "," 120,482 "," 1,309,589,285 ", 0.0092 
01,Adams,1,County,0000,ADAMS COUNTY,2391,CUMULATIVE CAPITAL DEVELOPMENT          ," 147,150 "," 277,633 "," 1,309,589,285 ", 0.0212 
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,0101,GENERAL                                 ," 19,147 "," 15,441 "," 49,333,203 ", 0.0313 
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 8,761 ", -   ," 49,333,203 ", -   
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,1111,FIRE                                    ," 8,712 "," 5,131 "," 49,333,203 ", 0.0104 
01,Adams,2,Township,0002,FRENCH TOWNSHIP,0101,GENERAL                                 ," 13,540 "," 8,794 "," 52,978,729 ", 0.0166 
01,Adams,2,Township,0002,FRENCH TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 15,761 ", -   ," 52,978,729 ", -   
01,Adams,2,Township,0002,FRENCH TOWNSHIP,1111,FIRE                                    ," 12,800 "," 13,933 "," 52,978,729 ", 0.0263 
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,0101,GENERAL                                 ," 29,090 "," 17,237 "," 42,666,188 ", 0.0404 
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 8,962 ", -   ," 42,666,188 ", -   
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,1111,FIRE                                    ," 12,160 "," 10,752 "," 42,666,188 ", 0.0252 
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,1312,RECREATION                              ," 12,000 "," 4,949 "," 42,666,188 ", 0.0116 
01,Adams,2,Township,0004,JEFFERSON TOWNSHIP,0101,GENERAL                                 ," 14,115 "," 11,152 "," 42,565,402 ", 0.0262 
01,Adams,2,Township,0004,JEFFERSON TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 8,762 "," 1,958 "," 42,565,402 ", 0.0046 
01,Adams,2,Township,0004,JEFFERSON TOWNSHIP,1111,FIRE                                    ," 12,025 "," 9,237 "," 42,565,402 ", 0.0217 
01,Adams,2,Township,0005,KIRKLAND TOWNSHIP,0101,GENERAL                                 ," 25,319 "," 13,872 "," 50,999,589 ", 0.0272 
01,Adams,2,Township,0005,KIRKLAND TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 24,002 "," 1,479 "," 50,999,589 ", 0.0029 
01,Adams,2,Township,0005,KIRKLAND TOWNSHIP,1111,FIRE                                    ," 20,989 "," 14,535 "," 50,999,589 ", 0.0285 
01,Adams,2,Township,0005,KIRKLAND TOWNSHIP,1190,CUMULATIVE FIRE (Township)                        ," 10,000 "," 16,524 "," 50,999,589 ", 0.0324 
01,Adams,2,Township,0006,MONROE TOWNSHIP,0061,RAINY DAY, 218 , -   ," 179,189,273 ", -   
01,Adams,2,Township,0006,MONROE TOWNSHIP,0101,GENERAL                                 ," 17,450 "," 12,006 "," 179,189,273 ", 0.0067 
01,Adams,2,Township,0006,MONROE TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 4,073 "," 1,613 "," 179,189,273 ", 0.0009 
01,Adams,2,Township,0006,MONROE TOWNSHIP,1111,FIRE                                    ," 8,883 "," 9,961 "," 100,613,087 ", 0.0099 
01,Adams,2,Township,0006,MONROE TOWNSHIP,1187,EMERGENCY FIRE LOAN," 31,000 "," 31,794 "," 100,613,087 ", 0.0316 
01,Adams,2,Township,0006,MONROE TOWNSHIP,2010,LIBRARY (NON-LIBRARY UNIT)              ," 2,712 ", 805 ," 100,613,087 ", 0.0008 
01,Adams,2,Township,0007,PREBLE TOWNSHIP,0061,RAINY DAY," 5,000 ", -   ," 53,150,386 ", -   
01,Adams,2,Township,0007,PREBLE TOWNSHIP,0101,GENERAL                                 ," 43,305 "," 14,563 "," 53,150,386 ", 0.0274 
01,Adams,2,Township,0007,PREBLE TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 12,562 ", -   ," 53,150,386 ", -   
01,Adams,2,Township,0007,PREBLE TOWNSHIP,1111,FIRE                                    ," 36,147 "," 25,778 "," 53,150,386 ", 0.0485 
01,Adams,2,Township,0008,ROOT TOWNSHIP,0061,RAINY DAY, 569 , -   ," 256,681,445 ", -   
01,Adams,2,Township,0008,ROOT TOWNSHIP,0101,GENERAL                                 ," 49,475 "," 18,738 "," 256,681,445 ", 0.0073 
01,Adams,2,Township,0008,ROOT TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 61,130 "," 5,390 "," 256,681,445 ", 0.0021 
01,Adams,2,Township,0008,ROOT TOWNSHIP,1111,FIRE                                    ," 34,170 "," 15,118 "," 116,293,821 ", 0.0130 
01,Adams,2,Township,0008,ROOT TOWNSHIP,1312,RECREATION                              ," 20,000 "," 19,886 "," 116,293,821 ", 0.0171 
01,Adams,2,Township,0008,ROOT TOWNSHIP,2010,LIBRARY (NON-LIBRARY UNIT)              ," 16,000 "," 4,535 "," 116,293,821 ", 0.0039 
01,Adams,2,Township,0009,ST. MARYS TOWNSHIP,0101,GENERAL                                 ," 18,882 "," 13,913 "," 49,513,607 ", 0.0281 
01,Adams,2,Township,0009,ST. MARYS TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 11,762 "," 2,080 "," 49,513,607 ", 0.0042 
01,Adams,2,Township,0009,ST. MARYS TOWNSHIP,1111,FIRE                                    ," 12,767 "," 11,933 "," 49,513,607 ", 0.0241 
01,Adams,2,Township,0009,ST. MARYS TOWNSHIP,1312,RECREATION                              ," 14,500 "," 6,387 "," 49,513,607 ", 0.0129 
01,Adams,2,Township,0010,UNION TOWNSHIP,0101,GENERAL                                 ," 18,795 "," 10,066 "," 46,388,690 ", 0.0217 
01,Adams,2,Township,0010,UNION TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 26,762 "," 5,474 "," 46,388,690 ", 0.0118 
01,Adams,2,Township,0010,UNION TOWNSHIP,1111,FIRE                                    ," 8,500 "," 5,938 "," 46,388,690 ", 0.0128 
01,Adams,2,Township,0010,UNION TOWNSHIP,1190,CUMULATIVE FIRE (Township)                        ," 9,000 "," 6,170 "," 46,388,690 ", 0.0133 
01,Adams,2,Township,0010,UNION TOWNSHIP,1312,RECREATION                              ," 29,400 "," 11,968 "," 46,388,690 ", 0.0258 
01,Adams,2,Township,0011,WABASH TOWNSHIP,0061,RAINY DAY, 472 , -   ," 165,427,117 ", -   
01,Adams,2,Township,0011,WABASH TOWNSHIP,0101,GENERAL                                 ," 31,350 "," 23,160 "," 165,427,117 ", 0.0140 
01,Adams,2,Township,0011,WABASH TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 30,259 "," 14,888 "," 165,427,117 ", 0.0090 
01,Adams,2,Township,0011,WABASH TOWNSHIP,1111,FIRE                                    ," 21,387 "," 11,051 "," 70,387,754 ", 0.0157 
01,Adams,2,Township,0011,WABASH TOWNSHIP,2010,LIBRARY (NON-LIBRARY UNIT)              ," 4,960 "," 3,942 "," 70,387,754 ", 0.0056 
01,Adams,2,Township,0012,WASHINGTON TOWNSHIP,0101,GENERAL                                 ," 112,557 "," 99,736 "," 320,695,656 ", 0.0311 
01,Adams,2,Township,0012,WASHINGTON TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 144,203 "," 89,795 "," 320,695,656 ", 0.0280 
01,Adams,2,Township,0012,WASHINGTON TOWNSHIP,1111,FIRE                                    ," 20,663 "," 13,697 "," 83,014,431 ", 0.0165 
01,Adams,2,Township,0012,WASHINGTON TOWNSHIP,2010,LIBRARY (NON-LIBRARY UNIT)              ," 4,800 "," 2,656 "," 83,014,431 ", 0.0032 
01,Adams,2,Township,0012,WASHINGTON TOWNSHIP,2120,CEMETERY                                ," 1,525 ", 321 ," 320,695,656 ", 0.0001 
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,0061,RAINY DAY," 50,000 ", -   ," 368,893,406 ", -   
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,0101,GENERAL                                 ," 3,539,801 "," 1,853,689 "," 368,893,406 ", 0.5025 
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,0341,FIRE PENSION                            ," 256,073 ", -   ," 368,893,406 ", -   
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,0342,POLICE PENSION                          ," 451,382 ", -   ," 368,893,406 ", -   
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,0706,LOCAL ROAD & STREET                     ," 37,000 ", -   ," 368,893,406 ", -   
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,0708,MOTOR VEHICLE HIGHWAY                   ," 1,051,422 "," 728,564 "," 368,893,406 ", 0.1975 
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,1301,PARK & RECREATION                       ," 732,409 "," 631,177 "," 368,893,406 ", 0.1711 
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,2379,CUMULATIVE CAPITAL IMP (CIG TAX)        ," 80,016 ", -   ," 368,893,406 ", -   
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,2391,CUMULATIVE CAPITAL DEVELOPMENT          ," 100,000 "," 159,731 "," 368,893,406 ", 0.0433 
01,Adams,3,City/Town,0453,BERNE CIVIL CITY,0101,GENERAL                                 ," 1,525,850 "," 838,679 "," 117,593,813 ", 0.7132 
01,Adams,3,City/Town,0453,BERNE CIVIL CITY,0342,POLICE PENSION                          ," 18,800 ", -   ," 117,593,813 ", -   
01,Adams,3,City/Town,0453,BERNE CIVIL CITY,0706,LOCAL ROAD & STREET                     ," 40,000 ", -   ," 117,593,813 ", -   
01,Adams,3,City/Town,0453,BERNE CIVIL CITY,0708,MOTOR VEHICLE HIGHWAY                   ," 361,000 "," 224,839 "," 117,593,813 ", 0.1912 
01,Adams,3,City/Town,0453,BERNE CIVIL CITY,2379,CUMULATIVE CAPITAL IMP (CIG TAX)        ," 50,000 ", -   ," 117,593,813 ", -   
01,Adams,3,City/Town,0453,BERNE CIVIL CITY,2391,CUMULATIVE CAPITAL DEVELOPMENT          ," 112,000 "," 54,093 "," 117,593,813 ", 0.0460 
01,Adams,3,City/Town,0520,GENEVA CIVIL TOWN,0061,RAINY DAY," 24,000 ", -   ," 38,795,992 ", -   
01,Adams,3,City/Town,0520,GENEVA CIVIL TOWN,0101,GENERAL                                 ," 399,126 "," 301,949 "," 38,795,992 ", 0.7783 
01,Adams,3,City/Town,0520,GENEVA CIVIL TOWN,0706,LOCAL ROAD & STREET                     ," 13,294 ", -   ," 38,795,992 ", -   
01,Adams,3,City/Town,0520,GENEVA CIVIL TOWN,0708,MOTOR VEHICLE HIGHWAY                   ," 162,822 "," 146,998 "," 38,795,992 ", 0.3789 
01,Adams,3,City/Town,0520,GENEVA CIVIL TOWN,1191,CUMULATIVE FIRE SPECIAL                 ," 10,000 "," 6,983 "," 38,795,992 ", 0.0180 
