County,County Name,Unit Type Code,Unit Type Code Name,Unit,Unit Name,Fund,Fund Name, 2012 Certified Budget , 2012 Certified Levy , 2012 Certified Net Assessed Value , 2012 Certified Gross Tax Rate 
01,Adams,1,County,0000,ADAMS COUNTY,0101,GENERAL                                 ," 9,831,759 "," 6,042,097 "," 1,350,189,214 ", 0.4475 
01,Adams,1,County,0000,ADAMS COUNTY,0123,2006 REASSESSMENT," 144,478 ", -   ," 1,350,189,214 ", -   
01,Adams,1,County,0000,ADAMS COUNTY,0124,2015 REASSESSMENT, -   ," 112,066 "," 1,350,189,214 ", 0.0083 
01,Adams,1,County,0000,ADAMS COUNTY,0590,CUMULATIVE COURT HOUSE                  ," 100,000 "," 51,307 "," 1,350,189,214 ", 0.0038 
01,Adams,1,County,0000,ADAMS COUNTY,0702,HIGHWAY                                 ," 2,014,064 ", -   ," 1,350,189,214 ", -   
01,Adams,1,County,0000,ADAMS COUNTY,0706,LOCAL ROAD & STREET                     ," 275,000 ", -   ," 1,350,189,214 ", -   
01,Adams,1,County,0000,ADAMS COUNTY,0790,CUMULATIVE BRIDGE                       ," 611,400 "," 658,892 "," 1,350,189,214 ", 0.0488 
01,Adams,1,County,0000,ADAMS COUNTY,0801,HEALTH                                  ," 323,164 "," 315,944 "," 1,350,189,214 ", 0.0234 
01,Adams,1,County,0000,ADAMS COUNTY,1192,CUMULATIVE JAIL                         ," 75,000 "," 405,057 "," 1,350,189,214 ", 0.0300 
01,Adams,1,County,0000,ADAMS COUNTY,1301,PARK & RECREATION                       ," 154,108 "," 125,568 "," 1,350,189,214 ", 0.0093 
01,Adams,1,County,0000,ADAMS COUNTY,2391,CUMULATIVE CAPITAL DEVELOPMENT          ," 320,000 "," 422,609 "," 1,350,189,214 ", 0.0313 
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,0101,GENERAL                                 ," 21,906 "," 15,939 "," 52,431,894 ", 0.0304 
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 8,778 ", -   ," 52,431,894 ", -   
