County,County Name,Unit Type Code,Unit Type Code Name,Unit,Unit Name,Fund,Fund Name, 2014 Certified Budget , 2014 Certified Levy , 2014 Certified Net Assessed Value , 2014 Certified Gross Tax Rate 
01,Adams,1,County,0000,ADAMS COUNTY,0101,GENERAL                                 ," 9,605,485 "," 6,586,711 "," 1,422,615,834 ", 0.4630 
01,Adams,1,County,0000,ADAMS COUNTY,0124,2015 REASSESSMENT," 125,250 "," 68,286 "," 1,422,615,834 ", 0.0048 
01,Adams,1,County,0000,ADAMS COUNTY,0590,CUMULATIVE COURT HOUSE                  ," 60,000 "," 54,059 "," 1,422,615,834 ", 0.0038 
01,Adams,1,County,0000,ADAMS COUNTY,0702,HIGHWAY                                 ," 2,062,041 ", -   ," 1,422,615,834 ", -   
01,Adams,1,County,0000,ADAMS COUNTY,0706,LOCAL ROAD & STREET                     ," 275,000 ", -   ," 1,422,615,834 ", -   
01,Adams,1,County,0000,ADAMS COUNTY,0790,CUMULATIVE BRIDGE                       ," 611,400 "," 694,237 "," 1,422,615,834 ", 0.0488 
01,Adams,1,County,0000,ADAMS COUNTY,0801,HEALTH                                  ," 313,740 "," 165,023 "," 1,422,615,834 ", 0.0116 
01,Adams,1,County,0000,ADAMS COUNTY,1192,CUMULATIVE JAIL                         ," 40,000 "," 426,785 "," 1,422,615,834 ", 0.0300 
01,Adams,1,County,0000,ADAMS COUNTY,1301,PARK & RECREATION                       ," 134,791 "," 137,994 "," 1,422,615,834 ", 0.0097 
01,Adams,1,County,0000,ADAMS COUNTY,2391,CUMULATIVE CAPITAL DEVELOPMENT          ," 307,000 "," 441,011 "," 1,422,615,834 ", 0.0310 
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,0101,GENERAL                                 ," 21,906 "," 16,848 "," 57,304,972 ", 0.0294 
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 8,778 ", -   ," 57,304,972 ", -   
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,1111,FIRE                                    ," 10,890 "," 5,559 "," 57,304,972 ", 0.0097 
01,Adams,2,Township,0002,FRENCH TOWNSHIP,0101,GENERAL                                 ," 13,540 "," 9,632 "," 61,348,743 ", 0.0157 
01,Adams,2,Township,0002,FRENCH TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 16,035 ", -   ," 61,348,743 ", -   
01,Adams,2,Township,0002,FRENCH TOWNSHIP,1111,FIRE                                    ," 13,130 "," 15,153 "," 61,348,743 ", 0.0247 
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,0061,RAINY DAY," 7,000 ", -   ," 50,653,586 ", -   
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,0101,GENERAL                                 ," 29,740 "," 16,969 "," 50,653,586 ", 0.0335 
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 9,485 ", -   ," 50,653,586 ", -   
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,1111,FIRE                                    ," 13,500 "," 11,650 "," 50,653,586 ", 0.0230 
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,1312,RECREATION                              ," 12,400 "," 7,193 "," 50,653,586 ", 0.0142 
01,Adams,2,Township,0004,JEFFERSON TOWNSHIP,0101,GENERAL                                 ," 14,490 "," 13,150 "," 51,367,264 ", 0.0256 
01,Adams,2,Township,0004,JEFFERSON TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 9,013 "," 1,181 "," 51,367,264 ", 0.0023 
01,Adams,2,Township,0004,JEFFERSON TOWNSHIP,1111,FIRE                                    ," 12,756 "," 10,017 "," 51,367,264 ", 0.0195 
01,Adams,2,Township,0005,KIRKLAND TOWNSHIP,0101,GENERAL                                 ," 26,196 "," 10,989 "," 60,709,951 ", 0.0181 
01,Adams,2,Township,0005,KIRKLAND TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 24,957 "," 5,767 "," 60,709,951 ", 0.0095 
01,Adams,2,Township,0005,KIRKLAND TOWNSHIP,1111,FIRE                                    ," 22,936 "," 15,785 "," 60,709,951 ", 0.0260 
01,Adams,2,Township,0005,KIRKLAND TOWNSHIP,1190,CUMULATIVE FIRE (Township)                        ," 10,000 "," 17,606 "," 60,709,951 ", 0.0290 
01,Adams,2,Township,0006,MONROE TOWNSHIP,0061,RAINY DAY, -   , -   ," 192,660,950 ", -   
01,Adams,2,Township,0006,MONROE TOWNSHIP,0101,GENERAL                                 ," 15,210 "," 15,798 "," 192,660,950 ", 0.0082 
01,Adams,2,Township,0006,MONROE TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 11,005 ", -   ," 192,660,950 ", -   
01,Adams,2,Township,0006,MONROE TOWNSHIP,1111,FIRE                                    ," 19,600 "," 70,832 "," 115,739,094 ", 0.0612 
01,Adams,2,Township,0006,MONROE TOWNSHIP,1187,EMERGENCY FIRE LOAN," 22,828 "," 22,569 "," 115,739,094 ", 0.0195 
01,Adams,2,Township,0006,MONROE TOWNSHIP,1190,CUMULATIVE FIRE (Township)                        ," 15,000 "," 36,458 "," 115,739,094 ", 0.0315 
01,Adams,2,Township,0007,PREBLE TOWNSHIP,0061,RAINY DAY," 10,000 ", -   ," 60,021,498 ", -   
01,Adams,2,Township,0007,PREBLE TOWNSHIP,0101,GENERAL                                 ," 43,290 "," 15,906 "," 60,021,498 ", 0.0265 
01,Adams,2,Township,0007,PREBLE TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 13,085 ", -   ," 60,021,498 ", -   
01,Adams,2,Township,0007,PREBLE TOWNSHIP,1111,FIRE                                    ," 42,000 "," 27,970 "," 60,021,498 ", 0.0466 
01,Adams,2,Township,0008,ROOT TOWNSHIP,0061,RAINY DAY," 10,000 ", -   ," 264,350,082 ", -   
01,Adams,2,Township,0008,ROOT TOWNSHIP,0101,GENERAL                                 ," 50,680 "," 27,757 "," 264,350,082 ", 0.0105 
01,Adams,2,Township,0008,ROOT TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 50,000 "," 17,183 "," 264,350,082 ", 0.0065 
01,Adams,2,Township,0008,ROOT TOWNSHIP,1111,FIRE                                    ," 38,221 "," 16,396 "," 123,274,934 ", 0.0133 
01,Adams,2,Township,0008,ROOT TOWNSHIP,1312,RECREATION                              ," 10,000 "," 6,780 "," 123,274,934 ", 0.0055 
01,Adams,2,Township,0008,ROOT TOWNSHIP,2010,LIBRARY (NON-LIBRARY UNIT)              ," 10,000 "," 1,479 "," 123,274,934 ", 0.0012 
01,Adams,2,Township,0009,ST. MARYS TOWNSHIP,0101,GENERAL                                 ," 33,060 "," 24,415 "," 57,045,260 ", 0.0428 
01,Adams,2,Township,0009,ST. MARYS TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 12,400 ", -   ," 57,045,260 ", -   
01,Adams,2,Township,0009,ST. MARYS TOWNSHIP,1111,FIRE                                    ," 15,200 "," 12,949 "," 57,045,260 ", 0.0227 
01,Adams,2,Township,0009,ST. MARYS TOWNSHIP,1312,RECREATION                              ," 21,000 ", -   ," 57,045,260 ", -   
01,Adams,2,Township,0010,UNION TOWNSHIP,0101,GENERAL                                 ," 20,959 "," 4,154 "," 53,255,480 ", 0.0078 
01,Adams,2,Township,0010,UNION TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 26,774 "," 2,024 "," 53,255,480 ", 0.0038 
01,Adams,2,Township,0010,UNION TOWNSHIP,1111,FIRE                                    ," 8,500 "," 6,231 "," 53,255,480 ", 0.0117 
01,Adams,2,Township,0010,UNION TOWNSHIP,1190,CUMULATIVE FIRE (Township)                        ," 9,000 "," 7,083 "," 53,255,480 ", 0.0133 
01,Adams,2,Township,0010,UNION TOWNSHIP,1312,RECREATION                              ," 29,500 "," 22,101 "," 53,255,480 ", 0.0415 
01,Adams,2,Township,0011,WABASH TOWNSHIP,0101,GENERAL                                 ," 35,510 "," 32,936 "," 180,966,293 ", 0.0182 
01,Adams,2,Township,0011,WABASH TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 34,029 "," 9,229 "," 180,966,293 ", 0.0051 
01,Adams,2,Township,0011,WABASH TOWNSHIP,1111,FIRE                                    ," 24,238 "," 12,016 "," 80,105,529 ", 0.0150 
01,Adams,2,Township,0011,WABASH TOWNSHIP,2010,LIBRARY (NON-LIBRARY UNIT)              ," 4,960 "," 3,845 "," 80,105,529 ", 0.0048 
01,Adams,2,Township,0012,WASHINGTON TOWNSHIP,0061,RAINY DAY," 1,841 ", -   ," 332,931,755 ", -   
01,Adams,2,Township,0012,WASHINGTON TOWNSHIP,0101,GENERAL                                 ," 107,352 "," 115,860 "," 332,931,755 ", 0.0348 
01,Adams,2,Township,0012,WASHINGTON TOWNSHIP,0840,TOWNSHIP ASSISTANCE," 136,773 "," 89,892 "," 332,931,755 ", 0.0270 
01,Adams,2,Township,0012,WASHINGTON TOWNSHIP,1111,FIRE                                    ," 22,014 "," 14,899 "," 91,403,906 ", 0.0163 
01,Adams,2,Township,0012,WASHINGTON TOWNSHIP,2010,LIBRARY (NON-LIBRARY UNIT)              ," 4,800 "," 2,468 "," 91,403,906 ", 0.0027 
01,Adams,2,Township,0012,WASHINGTON TOWNSHIP,2120,CEMETERY                                ," 2,000 ", 999 ," 332,931,755 ", 0.0003 
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,0061,RAINY DAY," 53,000 ", -   ," 373,511,801 ", -   
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,0101,GENERAL                                 ," 4,211,883 "," 2,125,282 "," 373,511,801 ", 0.5690 
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,0341,FIRE PENSION                            ," 256,005 "," 24,652 "," 373,511,801 ", 0.0066 
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,0342,POLICE PENSION                          ," 501,621 "," 189,370 "," 373,511,801 ", 0.0507 
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,0706,LOCAL ROAD & STREET                     ," 40,000 ", -   ," 373,511,801 ", -   
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,0708,MOTOR VEHICLE HIGHWAY                   ," 1,149,616 "," 705,190 "," 373,511,801 ", 0.1888 
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,1301,PARK & RECREATION                       ," 656,601 "," 454,564 "," 373,511,801 ", 0.1217 
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,2379,CUMULATIVE CAPITAL IMP (CIG TAX)        ," 100,000 ", -   ," 373,511,801 ", -   
01,Adams,3,City/Town,0407,DECATUR CIVIL CITY,2391,CUMULATIVE CAPITAL DEVELOPMENT          ," 465,000 "," 157,995 "," 373,511,801 ", 0.0423 
01,Adams,3,City/Town,0453,BERNE CIVIL CITY,0061,RAINY DAY," 100,000 ", -   ," 116,125,633 ", -   
01,Adams,3,City/Town,0453,BERNE CIVIL CITY,0101,GENERAL                                 ," 1,719,750 "," 910,773 "," 116,125,633 ", 0.7843 
01,Adams,3,City/Town,0453,BERNE CIVIL CITY,0342,POLICE PENSION                          ," 12,000 ", -   ," 116,125,633 ", -   
01,Adams,3,City/Town,0453,BERNE CIVIL CITY,0706,LOCAL ROAD & STREET                     ," 20,000 ", -   ," 116,125,633 ", -   
01,Adams,3,City/Town,0453,BERNE CIVIL CITY,0708,MOTOR VEHICLE HIGHWAY                   ," 479,800 "," 247,580 "," 116,125,633 ", 0.2132 
01,Adams,3,City/Town,0453,BERNE CIVIL CITY,2379,CUMULATIVE CAPITAL IMP (CIG TAX)        ," 50,000 ", -   ," 116,125,633 ", -   
01,Adams,3,City/Town,0453,BERNE CIVIL CITY,2391,CUMULATIVE CAPITAL DEVELOPMENT          ," 150,000 "," 52,837 "," 116,125,633 ", 0.0455 
01,Adams,3,City/Town,0520,GENEVA CIVIL TOWN,0061,RAINY DAY," 12,000 ", -   ," 42,323,651 ", -   
01,Adams,3,City/Town,0520,GENEVA CIVIL TOWN,0101,GENERAL                                 ," 440,646 "," 317,427 "," 42,323,651 ", 0.7500 
01,Adams,3,City/Town,0520,GENEVA CIVIL TOWN,0706,LOCAL ROAD & STREET                     ," 15,000 ", -   ," 42,323,651 ", -   
01,Adams,3,City/Town,0520,GENEVA CIVIL TOWN,0708,MOTOR VEHICLE HIGHWAY                   ," 181,152 "," 172,215 "," 42,323,651 ", 0.4069 
01,Adams,3,City/Town,0520,GENEVA CIVIL TOWN,1191,CUMULATIVE FIRE SPECIAL                 ," 10,000 "," 7,407 "," 42,323,651 ", 0.0175 
01,Adams,3,City/Town,0520,GENEVA CIVIL TOWN,2379,CUMULATIVE CAPITAL IMP (CIG TAX)        ," 4,865 ", -   ," 42,323,651 ", -   
01,Adams,3,City/Town,0520,GENEVA CIVIL TOWN,2391,CUMULATIVE CAPITAL DEVELOPMENT          ," 15,000 "," 19,723 "," 42,323,651 ", 0.0466 
01,Adams,3,City/Town,0521,MONROE CIVIL TOWN,0061,RAINY DAY, -   , -   ," 28,424,532 ", -   
01,Adams,3,City/Town,0521,MONROE CIVIL TOWN,0101,GENERAL                                 ," 166,774 "," 116,512 "," 28,424,532 ", 0.4099 
01,Adams,3,City/Town,0521,MONROE CIVIL TOWN,0706,LOCAL ROAD & STREET                     ," 3,201 ", -   ," 28,424,532 ", -   
01,Adams,3,City/Town,0521,MONROE CIVIL TOWN,0708,MOTOR VEHICLE HIGHWAY                   ," 79,806 "," 47,497 "," 28,424,532 ", 0.1671 
01,Adams,3,City/Town,0521,MONROE CIVIL TOWN,1191,CUMULATIVE FIRE SPECIAL                 , -   ," 5,685 "," 28,424,532 ", 0.0200 
01,Adams,3,City/Town,0521,MONROE CIVIL TOWN,1301,PARK & RECREATION                       ," 4,333 "," 3,979 "," 28,424,532 ", 0.0140 
01,Adams,3,City/Town,0521,MONROE CIVIL TOWN,2379,CUMULATIVE CAPITAL IMP (CIG TAX)        ," 2,273 ", -   ," 28,424,532 ", -   
01,Adams,3,City/Town,0521,MONROE CIVIL TOWN,2391,CUMULATIVE CAPITAL DEVELOPMENT          ," 9,284 "," 8,527 "," 28,424,532 ", 0.0300 
01,Adams,4,School,0015,ADAMS CENTRAL COMMUNITY SCHOOL CORP,0061,RAINY DAY," 200,000 ", -   ," 394,475,172 ", -   
01,Adams,4,School,0015,ADAMS CENTRAL COMMUNITY SCHOOL CORP,0101,GENERAL                                 ," 7,200,000 ", -   ," 394,475,172 ", -   
01,Adams,4,School,0015,ADAMS CENTRAL COMMUNITY SCHOOL CORP,0180,DEBT SERVICE                            ," 1,118,923 "," 1,225,634 "," 394,475,172 ", 0.3107 
01,Adams,4,School,0015,ADAMS CENTRAL COMMUNITY SCHOOL CORP,1214,CAPITAL PROJECTS (School)                       ," 1,125,760 "," 992,105 "," 394,475,172 ", 0.2515 
01,Adams,4,School,0015,ADAMS CENTRAL COMMUNITY SCHOOL CORP,6301,TRANSPORTATION                          ," 737,962 "," 695,460 "," 394,475,172 ", 0.1763 
01,Adams,4,School,0015,ADAMS CENTRAL COMMUNITY SCHOOL CORP,6302,BUS REPLACEMENT," 224,047 "," 191,320 "," 394,475,172 ", 0.0485 
01,Adams,4,School,0025,NORTH ADAMS COMMUNITY SCHOOL CORP,0061,RAINY DAY, 470 , -   ," 637,345,547 ", -   
01,Adams,4,School,0025,NORTH ADAMS COMMUNITY SCHOOL CORP,0101,GENERAL                                 ," 11,866,316 ", -   ," 637,345,547 ", -   
01,Adams,4,School,0025,NORTH ADAMS COMMUNITY SCHOOL CORP,0180,DEBT SERVICE                            ," 3,027,719 "," 2,768,629 "," 637,345,547 ", 0.4344 
01,Adams,4,School,0025,NORTH ADAMS COMMUNITY SCHOOL CORP,0186,SCHOOL PENSION DEBT," 617,643 "," 583,809 "," 637,345,547 ", 0.0916 
01,Adams,4,School,0025,NORTH ADAMS COMMUNITY SCHOOL CORP,1214,CAPITAL PROJECTS (School)                       ," 2,314,700 "," 2,222,424 "," 637,345,547 ", 0.3487 
01,Adams,4,School,0025,NORTH ADAMS COMMUNITY SCHOOL CORP,6301,TRANSPORTATION                          ," 1,185,031 "," 1,120,453 "," 637,345,547 ", 0.1758 
01,Adams,4,School,0025,NORTH ADAMS COMMUNITY SCHOOL CORP,6302,BUS REPLACEMENT," 437,940 "," 135,117 "," 637,345,547 ", 0.0212 
01,Adams,4,School,0035,SOUTH ADAMS SCHOOL CORPORATION,0061,RAINY DAY," 400,000 ", -   ," 390,795,115 ", -   
01,Adams,4,School,0035,SOUTH ADAMS SCHOOL CORPORATION,0101,GENERAL                                 ," 9,460,099 ", -   ," 390,795,115 ", -   
