County,County Name,Unit Type Code,Unit Type Name,Unit Code,Unit Name,Fund,Fund Name,2015 Certified Budget,2015 Certified Levy,2014 Certified Net Assessed Valuation,2015 Certified Gross Tax Rate
01,Adams,1,County,0000,ADAMS COUNTY,0061,RAINY DAY,"$100,000.00",$0.00,$0.00, 0.00000
01,Adams,1,County,0000,ADAMS COUNTY,0101,GENERAL                                 ,"$9,655,000.00","$6,856,276.00","$1,459,713,873.00", 0.46970
01,Adams,1,County,0000,ADAMS COUNTY,0124,2015 REASSESSMENT,"$192,100.00","$68,607.00","$1,459,713,873.00", 0.00470
01,Adams,1,County,0000,ADAMS COUNTY,0590,CUMULATIVE COURT HOUSE                  ,"$60,000.00","$55,469.00","$1,459,713,873.00", 0.00380
01,Adams,1,County,0000,ADAMS COUNTY,0702,HIGHWAY                                 ,"$2,110,705.00",$0.00,"$1,459,713,873.00", 0.00000
01,Adams,1,County,0000,ADAMS COUNTY,0706,LOCAL ROAD & STREET                     ,"$275,000.00",$0.00,"$1,459,713,873.00", 0.00000
01,Adams,1,County,0000,ADAMS COUNTY,0790,CUMULATIVE BRIDGE                       ,"$611,400.00","$712,340.00","$1,459,713,873.00", 0.04880
01,Adams,1,County,0000,ADAMS COUNTY,0801,HEALTH                                  ,"$316,920.00","$169,327.00","$1,459,713,873.00", 0.01160
01,Adams,1,County,0000,ADAMS COUNTY,1192,CUMULATIVE JAIL                         ,"$240,000.00","$437,914.00","$1,459,713,873.00", 0.03000
01,Adams,1,County,0000,ADAMS COUNTY,1301,PARK & RECREATION                       ,"$136,198.00","$48,171.00","$1,459,713,873.00", 0.00330
01,Adams,1,County,0000,ADAMS COUNTY,2391,CUMULATIVE CAPITAL DEVELOPMENT          ,"$382,000.00","$452,511.00","$1,459,713,873.00", 0.03100
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,0061,RAINY DAY,"$6,060.00",$0.00,$0.00, 0.00000
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,0101,GENERAL                                 ,"$6,755.00","$17,258.00","$62,757,159.00", 0.02750
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$9,217.00",$0.00,"$62,757,159.00", 0.00000
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,1111,FIRE                                    ,"$11,435.00","$5,711.00","$62,757,159.00", 0.00910
01,Adams,2,Township,0002,FRENCH TOWNSHIP,0101,GENERAL                                 ,"$13,540.00","$9,861.00","$65,742,517.00", 0.01500
01,Adams,2,Township,0002,FRENCH TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$16,083.00",$0.00,"$65,742,517.00", 0.00000
01,Adams,2,Township,0002,FRENCH TOWNSHIP,1111,FIRE                                    ,"$13,450.00","$15,581.00","$65,742,517.00", 0.02370
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,0061,RAINY DAY,"$6,686.00",$0.00,"$53,618,974.00", 0.00000
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,0101,GENERAL                                 ,"$30,055.00","$17,855.00","$53,618,974.00", 0.03330
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$9,492.00",$0.00,"$53,618,974.00", 0.00000
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,1111,FIRE                                    ,"$14,000.00","$11,957.00","$53,618,974.00", 0.02230
01,Adams,2,Township,0003,HARTFORD TOWNSHIP,1312,RECREATION                              ,"$12,500.00","$6,970.00","$53,618,974.00", 0.01300
01,Adams,2,Township,0004,JEFFERSON TOWNSHIP,0101,GENERAL                                 ,"$14,490.00","$13,442.00","$55,317,642.00", 0.02430
01,Adams,2,Township,0004,JEFFERSON TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$9,013.00","$1,272.00","$55,317,642.00", 0.00230
01,Adams,2,Township,0004,JEFFERSON TOWNSHIP,1111,FIRE                                    ,"$13,085.00","$10,289.00","$55,317,642.00", 0.01860
01,Adams,2,Township,0005,KIRKLAND TOWNSHIP,0101,GENERAL                                 ,"$26,851.00","$11,939.00","$66,329,010.00", 0.01800
01,Adams,2,Township,0005,KIRKLAND TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$25,350.00","$5,240.00","$66,329,010.00", 0.00790
01,Adams,2,Township,0005,KIRKLAND TOWNSHIP,1111,FIRE                                    ,"$23,394.00","$16,184.00","$66,329,010.00", 0.02440
01,Adams,2,Township,0005,KIRKLAND TOWNSHIP,1190,CUMULATIVE FIRE (Township)                        ,"$10,000.00","$18,638.00","$66,329,010.00", 0.02810
01,Adams,2,Township,0006,MONROE TOWNSHIP,0061,RAINY DAY,$0.00,$0.00,"$195,808,962.00", 0.00000
01,Adams,2,Township,0006,MONROE TOWNSHIP,0101,GENERAL                                 ,"$15,620.00","$14,294.00","$195,808,962.00", 0.00730
01,Adams,2,Township,0006,MONROE TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$11,074.00","$1,958.00","$195,808,962.00", 0.00100
01,Adams,2,Township,0006,MONROE TOWNSHIP,1111,FIRE                                    ,"$25,000.00","$24,964.00","$122,975,719.00", 0.02030
01,Adams,2,Township,0006,MONROE TOWNSHIP,1187,EMERGENCY FIRE LOAN,"$22,827.00","$21,521.00","$122,975,719.00", 0.01750
01,Adams,2,Township,0006,MONROE TOWNSHIP,1190,CUMULATIVE FIRE (Township)                        ,"$15,000.00","$38,245.00","$122,975,719.00", 0.03110
01,Adams,2,Township,0007,PREBLE TOWNSHIP,0061,RAINY DAY,"$15,000.00",$0.00,"$63,630,688.00", 0.00000
01,Adams,2,Township,0007,PREBLE TOWNSHIP,0101,GENERAL                                 ,"$45,250.00","$16,353.00","$63,630,688.00", 0.02570
01,Adams,2,Township,0007,PREBLE TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$12,860.00",$0.00,"$63,630,688.00", 0.00000
01,Adams,2,Township,0007,PREBLE TOWNSHIP,1111,FIRE                                    ,"$41,428.00","$28,697.00","$63,630,688.00", 0.04510
01,Adams,2,Township,0008,ROOT TOWNSHIP,0061,RAINY DAY,"$11,105.00",$0.00,"$263,866,893.00", 0.00000
01,Adams,2,Township,0008,ROOT TOWNSHIP,0101,GENERAL                                 ,"$48,172.00","$41,955.00","$263,866,893.00", 0.01590
01,Adams,2,Township,0008,ROOT TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$45,833.00","$2,639.00","$263,866,893.00", 0.00100
01,Adams,2,Township,0008,ROOT TOWNSHIP,1111,FIRE                                    ,"$39,369.00","$16,850.00","$126,695,373.00", 0.01330
01,Adams,2,Township,0008,ROOT TOWNSHIP,1312,RECREATION                              ,"$10,000.00","$5,321.00","$126,695,373.00", 0.00420
01,Adams,2,Township,0008,ROOT TOWNSHIP,2010,LIBRARY (NON-LIBRARY UNIT)              ,"$15,536.00","$4,814.00","$126,695,373.00", 0.00380
