County,County Name,Unit Type Code,Unit Type Name,Unit Code,Unit Name,Fund,Fund Name,2016 Certified Budget,2016 Certified Levy,2016 Certified Net Assessed Valuation, 2016 Certified Gross Tax Rate 
01,Adams,1,County,0000,ADAMS COUNTY,0061,RAINY DAY,"$100,000",$0,"$1,487,584,298", -   
01,Adams,1,County,0000,ADAMS COUNTY,0101,GENERAL                                 ,"$9,595,577","$7,021,398","$1,487,584,298", 0.4720 
01,Adams,1,County,0000,ADAMS COUNTY,0124,2015 REASSESSMENT,"$172,400","$43,140","$1,487,584,298", 0.0029 
01,Adams,1,County,0000,ADAMS COUNTY,0590,CUMULATIVE COURT HOUSE                  ,"$60,000","$56,528","$1,487,584,298", 0.0038 
01,Adams,1,County,0000,ADAMS COUNTY,0702,HIGHWAY                                 ,"$2,516,546",$0,"$1,487,584,298", -   
01,Adams,1,County,0000,ADAMS COUNTY,0706,LOCAL ROAD & STREET                     ,"$275,000",$0,"$1,487,584,298", -   
01,Adams,1,County,0000,ADAMS COUNTY,0790,CUMULATIVE BRIDGE                       ,"$611,600","$725,941","$1,487,584,298", 0.0488 
01,Adams,1,County,0000,ADAMS COUNTY,0801,HEALTH                                  ,"$306,691","$209,749","$1,487,584,298", 0.0141 
01,Adams,1,County,0000,ADAMS COUNTY,1192,CUMULATIVE JAIL                         ,"$270,000","$446,275","$1,487,584,298", 0.0300 
01,Adams,1,County,0000,ADAMS COUNTY,1301,PARK & RECREATION                       ,"$137,838","$56,528","$1,487,584,298", 0.0038 
01,Adams,1,County,0000,ADAMS COUNTY,2391,CUMULATIVE CAPITAL DEVELOPMENT          ,"$644,969","$461,151","$1,487,584,298", 0.0310 
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,0061,RAINY DAY,"$6,060",$0,"$64,284,239", -   
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,0101,GENERAL                                 ,"$22,994","$17,292","$64,284,239", 0.0269 
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,0840,TOWNSHIP ASSISTANCE,"$9,678",$450,"$64,284,239", 0.0007 
01,Adams,2,Township,0001,BLUE CREEK TOWNSHIP,1111,FIRE                                    ,"$12,007","$5,850","$64,284,239", 0.0091 
