% Children in Poverty,% LBW,AFGR,County,Graduation Rate,Teen Birth Rate,Teen Births,year
20.4,8.0908713791,,,87.224752986,35.158533617,56051.0,2017
25.3,6.9444444444,,Adams,93.864942529,31.029292578,268.0,2017
20.8,8.8979966026,,Allen,88.578725645,35.775185867,3147.0,2017
15.5,7.6440932007,,Bartholomew,91.24973545,47.898675878,832.0,2017
18.2,4.600811908,,Benton,92.5,31.360647446,62.0,2017
24.0,8.3168316832,,Blackford,92.5,46.643109541,132.0,2017
7.4,6.7776456599,,Boone,96.761966365,16.980072972,242.0,2017
19.9,4.6153846154,,Brown,87.5,23.098244533,75.0,2017
13.7,6.9553805774,,Carroll,95.291878173,24.471173787,118.0,2017
20.0,7.893258427,,Cass,91.268099548,48.185941043,425.0,2017
16.2,7.9938062518,,Clark,92.46031746,43.381056795,1009.0,2017
20.4,6.9501600366,,Clay,93.0,38.940564402,247.0,2017
18.5,7.7329192547,,Clinton,90.190023753,46.030071221,349.0,2017
28.5,9.4478527607,,Crawford,87.5,40.279490341,98.0,2017
21.9,7.0616883117,,Daviess,93.048986486,39.471947195,299.0,2017
12.7,7.6021869305,,Dearborn,93.027777778,28.943432744,329.0,2017
18.6,7.3275862069,,Decatur,92.5,45.220966084,264.0,2017
14.9,6.8741542625,,DeKalb,90.835962145,37.18927383,380.0,2017
31.2,9.3746466131,,Delaware,93.599048443,23.690651003,968.0,2017
9.0,7.3426573427,,Dubois,94.754545455,27.096774194,273.0,2017
19.4,7.3696824446,,Elkhart,86.914779745,47.264653276,2299.0,2017
23.8,7.3144104803,,Fayette,92.0,59.50350578,314.0,2017
17.5,8.4745762712,,Floyd,91.139978791,32.650771388,582.0,2017
18.9,6.2997827661,,Fountain,93.965517241,47.108086888,180.0,2017
13.7,7.0325900515,,Franklin,94.826203209,25.793998947,147.0,2017
19.7,8.0741953082,,Fulton,90.448113208,44.014084507,200.0,2017
14.6,7.7913043478,,Gibson,89.457746479,36.465638149,286.0,2017
26.9,9.6036036036,,Grant,95.779639175,35.922192248,759.0,2017
21.6,7.5,,Greene,93.505665722,40.580526983,288.0,2017
5.2,7.0290394639,,Hamilton,93.89763178,10.92081281,725.0,2017
8.1,7.2951120911,,Hancock,92.239130435,23.469387755,391.0,2017
15.3,7.3397542345,,Harrison,92.518306636,32.651596699,273.0,2017
6.7,6.6845136692,,Hendricks,96.692728137,17.337759995,611.0,2017
20.6,8.0127277987,,Henry,92.185053381,34.810415715,381.0,2017
24.8,7.3088297423,,Howard,81.670154686,46.215052591,848.0,2017
16.2,8.2384460817,,Huntington,90.0,31.348291046,299.0,2017
16.8,7.1871127633,,Jackson,95.224948875,53.231129565,500.0,2017
13.2,6.408839779,,Jasper,90.187823834,29.215358932,245.0,2017
24.9,7.9476390837,,Jay,95.0,40.486599506,213.0,2017
20.2,8.416220352,,Jefferson,85.903846154,35.644211903,327.0,2017
21.1,8.3535108959,,Jennings,89.0,56.275247249,404.0,2017
10.7,6.9789154283,,Johnson,91.44002181,30.246749801,1026.0,2017
24.1,7.7111383109,,Knox,97.5,36.42482431,368.0,2017
13.8,7.2340425532,,Kosciusko,91.009487666,35.602316807,670.0,2017
13.6,5.2872685627,,LaGrange,92.5,22.585438336,228.0,2017
26.5,9.2222675182,,Lake,84.628526149,37.116079774,4487.0,2017
24.7,9.1910977958,,LaPorte,88.859314108,44.120179063,1025.0,2017
21.0,9.0037757769,,Lawrence,87.135902637,47.698396167,458.0,2017
25.2,8.3680073971,,Madison,83.369485294,44.870264926,1316.0,2017
31.0,9.2507859734,,Marion,72.131333094,48.586466093,10090.0,2017
15.0,6.1925495888,,Marshall,88.805785124,31.421838178,360.0,2017
19.5,7.1120689655,,Martin,93.1,38.444735692,88.0,2017
22.6,8.8301043219,,Miami,88.371934605,40.151994934,317.0,2017
18.2,7.3644694711,,Monroe,92.903386454,11.322813023,602.0,2017
18.7,7.6568265683,,Montgomery,97.5,44.18684724,385.0,2017
16.2,7.7668128655,,Morgan,90.979434447,34.810509747,575.0,2017
17.6,6.4741035857,,Newton,89.957627119,34.182722188,110.0,2017
14.2,6.9670227589,,Noble,86.627224199,38.224841813,441.0,2017
15.6,6.7183462532,,Ohio,92.5,31.772575251,38.0,2017
24.3,7.9573934837,,Orange,83.625461255,36.472285184,177.0,2017
24.8,6.8543451652,,Owen,92.5,38.485033598,189.0,2017
25.0,7.4294205052,,Parke,85.214285714,38.535118885,141.0,2017
18.0,8.3857442348,,Perry,93.482587065,47.200878156,172.0,2017
16.2,8.8442211055,,Pike,92.5,42.05433569,113.0,2017
14.8,6.8993116696,,Porter,91.161623109,21.010381309,848.0,2017
12.9,7.0987654321,,Posey,91.338383838,27.895900663,164.0,2017
21.1,5.9862610402,,Pulaski,95.388198758,35.831689678,109.0,2017
17.6,7.0588235294,,Putnam,91.915137615,23.967317295,264.0,2017
27.1,9.010270775,,Randolph,93.626126126,43.585526316,265.0,2017
15.4,7.3240589198,,Ripley,86.966911765,34.443495588,242.0,2017
20.4,7.753164557,,Rush,97.5,39.230384808,157.0,2017
24.5,8.0105739576,,St. Joseph,88.065976009,33.675908879,2451.0,2017
24.0,9.828009828,,Scott,87.5,52.49585559,285.0,2017
17.2,6.4364640884,,Shelby,93.755,42.355788624,420.0,2017
12.0,6.6583696329,,Spencer,93.184647303,31.26277074,153.0,2017
23.0,6.8514644351,,Starke,91.231617647,42.13734983,235.0,2017
16.0,7.298136646,,Steuben,81.018394649,34.662045061,300.0,2017
20.9,8.2518337408,,Sullivan,89.18161435,49.793538985,205.0,2017
28.3,6.3806380638,,Switzerland,97.5,39.279112754,85.0,2017
17.8,6.9466472118,,Tippecanoe,85.343434343,23.679779858,1308.0,2017
12.9,7.7369439072,,Tipton,95.691489362,29.87992181,107.0,2017
20.3,6.1188811189,,Union,92.5,38.572251007,67.0,2017
24.8,9.1433176296,,Vanderburgh,77.921210306,37.300624728,1630.0,2017
18.5,8.4048027444,,Vermillion,90.416666667,44.557416268,149.0,2017
25.2,7.6702666961,,Vigo,91.0,40.594645406,1166.0,2017
18.1,7.6301978199,,Wabash,93.734256927,31.938454365,274.0,2017
16.3,5.819295559,,Warren,97.5,27.513227513,52.0,2017
9.8,8.4716533736,,Warrick,90.0,25.21946139,339.0,2017
22.9,7.2602739726,,Washington,92.5,38.426488457,253.0,2017
28.4,7.8627968338,,Wayne,83.63510101,45.484165255,698.0,2017
13.8,7.9133694294,,Wells,94.089147287,28.646639827,185.0,2017
17.9,7.7147016012,,White,85.867952522,44.539694372,239.0,2017
11.3,7.7289377289,,Whitley,95.659509202,30.717167773,236.0,2017
21.2,8.1665001954,,,87.252108867,37.284801217,59776.0,2016
28.5,7.4764353042,,Adams,94.687969925,31.310707348,274.0,2016
21.7,8.7874969842,,Allen,89.892223382,37.540687981,3310.0,2016
16.4,7.842605156,,Bartholomew,83.699450549,49.795128614,875.0,2016
18.0,4.9046321526,,Benton,97.5,34.074074074,69.0,2016
23.8,7.6699029126,,Blackford,92.5,50.344827586,146.0,2016
8.4,6.7605633803,,Boone,96.80608365,19.591019591,274.0,2016
20.6,5.3167420814,,Brown,92.5,23.589131084,79.0,2016
15.6,7.2312703583,,Carroll,90.495283019,26.348547718,127.0,2016
21.2,7.8852047924,,Cass,89.542986425,49.035008977,437.0,2016
16.4,8.0845288872,,Clark,91.701815039,45.055512523,1047.0,2016
21.3,6.6728025771,,Clay,92.0,40.01235903,259.0,2016
19.6,7.7133313088,,Clinton,89.923267327,48.478597215,376.0,2016
29.8,8.1047381546,,Crawford,87.5,44.593528019,113.0,2016
21.7,7.0794078062,,Daviess,93.989169675,42.710255734,324.0,2016
17.3,7.6219512195,,Dearborn,92.732866044,31.155081142,359.0,2016
19.4,7.7826086957,,Decatur,95.017730496,46.74025526,271.0,2016
14.8,6.7439978419,,DeKalb,91.804166667,40.101226397,412.0,2016
26.1,9.2077327076,,Delaware,93.586956522,24.829873899,1018.0,2016
9.9,7.1428571429,,Dubois,91.435121107,27.335984095,275.0,2016
19.8,7.3027622314,,Elkhart,86.155827703,50.023528449,2445.0,2016
23.4,7.6392572944,,Fayette,89.0,60.813308688,329.0,2016
17.2,8.3213083213,,Floyd,92.100215517,35.803915008,642.0,2016
19.8,6.5201984408,,Fountain,92.290794979,47.349459599,184.0,2016
15.4,7.0399113082,,Franklin,93.292207792,28.93779241,167.0,2016
21.6,7.5233388248,,Fulton,90.143979058,46.956521739,216.0,2016
16.9,7.633851468,,Gibson,89.733766234,36.900836926,291.0,2016
30.7,9.5926644331,,Grant,91.72363847,37.855477855,812.0,2016
21.9,7.6558800316,,Greene,90.147849462,43.448180434,314.0,2016
5.7,7.0516152989,,Hamilton,92.869737178,12.294182217,784.0,2016
9.4,7.4179743224,,Hancock,90.892491468,25.637910085,422.0,2016
15.9,7.7939233818,,Harrison,92.409090909,33.852323661,287.0,2016
7.9,7.0050843354,,Hendricks,95.989959839,19.304347826,666.0,2016
21.8,8.1011203677,,Henry,92.656079855,36.060279871,402.0,2016
24.0,7.3848706956,,Howard,86.9,48.060934399,896.0,2016
16.6,8.6970790942,,Huntington,87.0,32.018943684,311.0,2016
19.8,7.2126220887,,Jackson,94.822546973,55.16950937,524.0,2016
13.9,6.8206423674,,Jasper,88.732044199,32.926684828,278.0,2016
35.2,8.3333333333,,Jay,95.0,42.261457551,225.0,2016
25.4,8.5736255286,,Jefferson,91.400593472,35.791993037,329.0,2016
22.2,8.242862887,,Jennings,87.0,57.480862909,413.0,2016
13.2,6.9428373062,,Johnson,91.887547998,32.046700024,1076.0,2016
24.3,7.8610603291,,Knox,92.5,39.522964715,401.0,2016
16.7,7.1369863014,,Kosciusko,84.471470019,37.53690426,712.0,2016
16.6,5.3037427121,,LaGrange,90.945378151,24.183200079,245.0,2016
